# PS3 Classic base game index v1
# G\tTITLE_ID\tNAME\tCONTENT_ID
# A\tTITLE_ID
# D\tTITLE_ID
G	NPUB30069	Zombie Apocalypse	UP0101-NPUB30069_00-ZOMBIEAPOCALYP01
G	NPUB30070	The Punisher No Mercy	UP4042-NPUB30070_00-PUNISHERNOMERCY1
G	NPUB30071	Watchmen - The End is nigh EP2	UP1018-NPUB30071_00-WATCHMENDEMOGAME
G	NPUB30078	Gunstar Heroes	UP0177-NPUB30078_00-SVCGUNSTARHEROES
G	NPUB30096	Hard Corps: Uprising Trial	UP0101-NPUB30096_00-HCUPRISING00DEMO
G	NPUB30097	Smash Cars	UP2004-NPUB30097_00-SMASHCARS0000000
G	NPUB30099	Mushroom Wars	UP4073-NPUB30099_00-MUSHROOMS0000000
G	NPUB30102	Matt Hazard - Blood Bath and Beyond	UP0367-NPUB30102_00-MATTHAZARDDEMO00
G	NPUB30105	Soldner-X2 Final Prototype	UP2005-NPUB30105_00-SOLDNERX2FINALPR
G	NPUB30107	TMNT: Turtles in Time Re-Shelled	UP0001-NPUB30107_00-TMNTRESHELLED001
G	NPUB30109	Trine	UP4029-NPUB30109_00-TRINEINSTALLER00
G	NPUB30110	Pinballistik	UP4073-NPUB30110_00-PINBALLISTIK0000
G	NPUB30112	Rush N Attack - Ex-Patriot	UP0101-NPUB30112_00-RUSHATTACK000001
G	NPUB30114	Mega Man™ 10	UP0102-NPUB30114_00-INTIROCKMAN10000
G	NPUB30120	Earthworm Jim HD	UP2006-NPUB30120_00-EARTHWROMTRIAL32
G	NPUB30122	Planet Minigolf	UP4042-NPUB30122_00-PLANETMINIGOLF01
G	NPUB30123	Rocket Knight	UP0101-NPUB30123_00-ROCKETKNIGHT0000
G	NPUB30125	Puzzlegeddon	UP0325-NPUB30125_00-PUZZLEGEDDONGAME
G	NPUB30127	Sonic The Hedgehog 4 Episode 1	UP0177-NPUB30127_00-SONICDLTRIAL0000
G	NPUB30130	Greed Corp	UP4104-NPUB30130_00-GREEDCORP0000000
G	NPUB30131	Bionic Commando Rearmed 2	UP0102-NPUB30131_00-BCREARMED20000NP
G	NPUB30133	Braid	UP4049-NPUB30133_00-BRAID00000000001
G	NPUB30141	Alien Breed: Impact	UP4064-NPUB30141_00-ALIENBREED000001
G	NPUB30142	Record of Agarest War	UP1024-NPUB30142_00-AGARESTWARVER100
G	NPUB30144	Sky Fighter	UP2004-NPUB30144_00-SKYFIGHTER000000
G	NPUB30152	Spelunker HD	UP2038-NPUB30152_00-SPELUNKERHDPS301
G	NPUB30154	Tank Battles	UP2006-NPUB30154_00-TANKBATTLE00DEMO
G	NPUB30155	TV Show King	UP2006-NPUB30155_00-TVSKPSNDEMO75632
G	NPUB30158	Brain Challenge	UP2006-NPUB30158_00-HDDDEMOONLINE001
G	NPUB30159	Blue Toad Murder Files - Episode 1	UP4075-NPUB30159_00-MMYSUSA000M01E01
G	NPUB30160	UNO	UP2006-NPUB30160_00-UNOTRIALPSNBLDUS
G	NPUB30161	Section 8	UP2024-NPUB30161_00-SECTION8TRIAL000
G	NPUB30162	Scott Pilgrim vs The World	UP0001-NPUB30162_00-SCOTTPILGRIM0001
G	NPUB30163	OUTLAND	UP0001-NPUB30163_00-OUTLAND0DEMO0001
G	NPUB30172	Ricochet HD	UP2016-NPUB30172_00-RICOCHETHD000000
G	NPUB30174	Might and Magic - Clash of Heroes	UP0001-NPUB30174_00-MMCLASHOFHEROES1
G	NPUB30181	Castle Crashers	UP2015-NPUB30181_00-CASTLECRASHERS01
G	NPUB30182	Marvel Pinball	UP4042-NPUB30182_00-MARVELPINBALL001
G	NPUB30183	KickBeat	UP4042-NPUB30183_00-KICKBEAT00000001
G	NPUB30185	Sam and Max - The Devils Playhouse - Episode 1	UP2026-NPUB30185_00-SAM301000000GAME
G	NPUB30186	VooDoo Dice	UP0001-NPUB30186_00-VOODOODICEPS3001
G	NPUB30193	StrongBad's Cool Game For Attractive People - Episode 4: Dangeresque 3	UP2026-NPUB30193_00-HSR104000000GAME
G	NPUB30196	Monkey Island 2 Special Edition LeChucks Revenge	UP1010-NPUB30196_00-MONKEY2000000000
G	NPUB30197	The Secret of Monkey Island Special Edition	UP1010-NPUB30197_00-MONKEYISLAND0000
G	NPUB30210	Storm	UP1026-NPUB30210_00-STORM00000000001
G	NPUB30223	Test Yourself	UP4073-NPUB30223_00-TESTYOURSELF0000
G	NPUB30224	Blacklight Tango Down	UP4002-NPUB30224_00-HDDBLACKLIGHT001
G	NPUB30225	Lara Croft and the Guardian of Light	UP0082-NPUB30225_00-LARACROFTGOL0000
G	NPUB30226	Tetris	UP0006-NPUB30226_00-TETRIS0000000000
G	NPUB30227	Dungeon Hunter Alliance	UP2006-NPUB30227_00-DHRALLIANCETRIAL
G	NPUB30228	Lead And Gold Gangs Of The Wild West	UP4139-NPUB30228_00-LEADANDGOLD00000
G	NPUB30230	Worms 2 Armageddon	UP4064-NPUB30230_00-WORMS2ARMDEMOUSA
